TopicID,RefinedTopicID,OriginalAutoCoherence,OriginalSubjClarity,OriginalSubjConsistency,OriginalSubjCorrelation,OriginalDocIntrDLO,OriginalDocIntrPercent,FreqAddWords,FreqRemoveWords,FreqRemoveArticles,FreqMergeWords,FreqSplitTheme,FreqChangeWordOrder,RefinedWordLength,RefinedDocumentLength,RefinedAutoCoherence,RefindSubjClarity,RefinedSubjConsistency,RefinedSubjCorrelation,RefinedDocIntrDLO,RefinedDocIntrPercent,Duration
4,8,0.1,5,4,4,0.0,1.0,3,3,2,1,0,5,23,38,0.09090909090909091,5,5,5,-1.3539562728295846,0.8,281
5,0,0.23,4,4,3,0.0,1.0,0,0,7,0,2,4,16,37,0.17500000000000002,3,4,2,0.0,1.0,173
5,1,0.23,4,4,4,0.0,1.0,6,6,0,0,0,6,11,40,0.36363636363636365,4,4,4,0.0,1.0,267
5,2,0.23,3,4,3,0.0,1.0,5,5,0,4,0,3,21,40,0.2111111111111111,4,4,4,0.0,1.0,277
5,3,0.23,5,4,4,0.0,1.0,0,0,0,0,0,9,18,40,0.1888888888888889,5,4,4,-1.7658987099048749,0.8,159
5,4,0.23,5,5,5,0.0,1.0,0,0,0,0,0,0,17,40,0.21176470588235294,5,5,5,0.0,1.0,199
5,5,0.23,4,4,4,0.0,1.0,0,0,0,3,3,8,23,40,0.15789473684210525,5,4,5,0.0,1.0,179
5,6,0.23,2,2,5,0.0,1.0,0,0,21,1,2,1,19,27,0.15789473684210525,4,4,5,0.0,1.0,521
5,7,0.23,4,4,4,0.0,1.0,0,0,0,0,0,0,12,40,0.3666666666666667,4,4,4,0.0,1.0,78
5,8,0.23,4,4,4,0.0,1.0,2,2,1,0,0,1,23,39,0.16363636363636364,4,4,4,0.0,1.0,135
6,0,0.15,4,4,4,0.0,1.0,21,21,3,4,0,12,34,37,0.08666666666666667,5,5,5,0.0,1.0,467
6,1,0.15,3,3,3,0.0,1.0,5,5,0,0,0,0,19,40,0.14444444444444446,4,4,4,0.0,1.0,142
6,2,0.15,5,5,5,0.0,1.0,0,0,1,3,0,2,20,39,0.16666666666666666,5,5,5,0.0,1.0,170
6,3,0.15,4,4,4,0.0,1.0,0,0,0,1,0,2,18,40,0.17777777777777778,5,5,5,0.0,1.0,101
6,4,0.15,3,4,4,0.0,1.0,2,2,0,0,0,0,21,40,0.10476190476190475,3,4,4,0.0,1.0,142
6,5,0.15,5,5,5,0.0,1.0,0,0,0,1,0,10,20,40,0.1368421052631579,5,5,5,0.0,1.0,138
6,6,0.15,4,4,5,0.0,1.0,3,3,0,0,0,2,19,40,0.15789473684210525,4,4,5,-1.1886435143737664,0.8,111
6,7,0.15,4,3,4,0.0,1.0,2,2,1,1,0,4,17,39,0.18823529411764706,4,4,5,0.0,1.0,273
6,8,0.15,4,4,4,0.0,1.0,1,1,1,3,0,0,22,39,0.1619047619047619,5,5,5,0.0,1.0,182
7,0,0.02,4,4,4,0.0,1.0,4,4,39,0,0,4,25,7,0.03333333333333333,4,4,4,0.0,1.0,499
