soviet,1,a
average,1,s
metal,1,n
disease,1,n
mrs,2,n
neediest,1,s
movie,1,n
senior,1,s
left,3,v
salt,1,v
review,1,n
fact,1,n
shop,1,v
thomas,1,n
shot,1,v
survived,1,v
pope,1,n
show,2,v
german,1,n
agreed,1,v
contemporary,1,s
radio,1,n
democrats,1,n
bedroom,1,n
soldiers,1,n
chicken,1,n
find,1,v
partners,1,n
producer,1,n
knicks,1
justice,1,n
menu,1,n
writes,1,v
saints,1,n
written,1,v
ball,1,n
crime,1,n
jan,3,n
bush,1,n
won,1,v
black,2,s
hockey,1,n
fuel,1,v
communist,1,n
local,2,a
carolina,1,n
giants,1,n
sense,1,n
king,1,n
de,1,n
television,1,n
trees,1,v
coast,1,n
baghdad,1,n
words,1,n
churches,1,n
hedge,1,v
trade,1,n
sunni,1,n
prime,2,s
child,1,n
bar,2,n
smoking,1,v
artist,1,n
married,1,a
taxes,2,v
morning,1,n
bad,1,s
miles,1,n
troop,1,n
ohio,1,n
wrote,2,v
restaurants,1,n
europe,1,n
set,2,v
art,1,n
intelligence,1,n
national,2,a
testing,1,v
sex,1,n
elected,1,v
officials,6,n
college,1,n
european,1,a
sea,1,n
iran,1,n
news,1,n
nations,1,n
points,1,n
israeli,1,a
federal,2,a
nuclear,1,a
century,2,n
sites,1,v
weapons,1,n
state,7,n
classes,1,n
shiite,1,n
publishers,1,n
notice,1,n
recently,1,r
majority,1,n
team,2,n
jr,1,n
harvard,1,n
awards,1,n
jets,1,n
police,2,v
kitchen,2,n
hours,1,n
climate,1,n
store,1,n
brown,1,n
restaurant,1,n
country,2,n
taking,1,v
readers,1,n
contract,1,v
foreign,2,a
players,2,n
games,2,n
bronx,1,n
senator,1,n
asked,1,v
jersey,1,n
pakistan,1,n
ch,1
yards,1,n
cancer,1,n
point,2,n
wall,2,n
sweet,1,s
community,2,n
anti,1,a
article,1,n
table,1,n
conference,1,n
arts,1,n
union,2,n
west,3,n
political,3,a
airlines,1,n
strategy,1,n
secret,1,s
pa,1,n
interest,1,n
tv,1,n
poet,1,n
exhibition,1,n
firm,1,s
field,1,n
life,3,n
flight,1,n
gay,1,s
league,3,n
drugs,1,v
ages,1,n
republicans,1,n
gas,1,n
search,1,n
palestinian,1,a
al,1,n
fund,2,v
representative,1,n
mail,1,n
prices,2,n
daughter,2,n
atlanta,1,n
evidence,1,v
plants,1,v
bill,2,n
budget,1,n
governor,1,n
air,1,n
teachers,1,n
property,1,n
study,1,n
bathrooms,1,n
mexico,1,n
site,2,n
ii,1,s
middle,1,n
drug,1,v
carbon,1,n
technology,1,n
memorial,1,n
author,1,n
pay,2,v
make,2,v
administration,2,n
trip,1,n
member,1,n
speech,1,n
digital,1,a
incorrectly,1,r
party,2,n
tests,1,v
pan,1,n
analysts,1,n
development,1,n
oil,2,n
lawyers,1,n
mountain,1,n
saddam,1,n
friends,2,n
yesterday,3,r
director,3,n
student,1,n
colts,1,n
recent,1,s
dark,1,s
theater,1,n
center,3,n
programs,1,n
charges,1,v
iraqis,1,n
poland,1,n
game,2,n
thought,1,v
academic,1,s
costs,1,n
china,1,n
mother,4,n
corporate,1,s
researchers,1,n
charged,1,v
things,1,n
mind,1,n
stores,1,n
money,2,n
executive,1,n
officers,1,n
foot,1,n
human,2,a
polish,1,n
web,1,n
death,2,n
ads,1,n
cup,1,n
rose,1,v
workers,1,n
smith,1,n
killed,1,v
color,1,n
add,1,v
parents,2,n
board,2,n
beloved,1,s
prison,1,n
east,2,n
ski,1,v
match,1,v
real,2,s
customers,1,n
government,4,n
read,1,v
big,2,s
online,1,a
early,2,a
test,1,v
cultural,1,a
judge,1,v
world,6,n
execution,1,n
projects,1,v
toyota,1,n
michael,1,n
audience,1,n
officer,1,n
night,4,n
security,2,n
works,1,v
www,1,n
google,1,v
jews,1,n
deal,1,v
people,7,n
senate,1,n
christian,1,a
church,2,n
lebanon,1,n
back,4,v
library,2,n
hair,1,n
born,1,v
growth,1,n
election,1,n
home,4,n
lead,1,n
manning,1,v
fox,1,n
legal,1,a
maliki,1
leader,1,n
cost,1,n
patient,1,n
power,3,n
marketing,1,v
corn,1,n
broker,1,s
defensive,1,a
super,1,s
sister,1,n
attacks,1,n
island,2,n
industry,2,n
violence,1,n
sectarian,1,a
angeles,1
dinner,1,n
airline,1,n
documentary,1,a
executives,1,n
bath,1,n
clinton,1,n
mets,1
travelers,1,n
washington,1,n
attorney,1,n
son,3,n
pair,1,v
playoff,1,n
weather,1,v
homeless,1,s
artists,1,n
france,1,n
computer,1,n
area,3,n
spending,1,v
pelosi,1
housing,1,n
apartments,1,n
long,3,a
gallery,1,n
los,1
editor,1,n
lot,2,n
series,1,n
forward,1,r
energy,1,n
building,2,v
head,1,n
buy,1,v
north,1,n
ireland,1,n
jewish,1,a
funds,1,v
pastor,1,n
ford,2,n
wireless,1,n
boys,1,n
heat,1,n
jones,1,n
authority,1,n
solar,1,a
mich,1
line,1,n
true,1,s
eat,1,v
directed,1,v
made,3,v
wife,2,n
signed,1,v
father,3,n
windows,1,n
emissions,1,n
pm,1,n
minutes,2,n
called,2,v
supreme,1,s
deaths,1,n
sales,2,n
doesn,1
general,1,s
shopping,1,v
education,1,n
campus,1,n
film,1,n
cream,1,v
misstated,1,v
floor,2,n
corporation,1,n
peace,1,n
percent,4,n
treatment,1,n
actor,1,n
graduate,1,v
ny,1,n
book,2,n
actors,1,n
income,1,n
department,3,n
depot,1,n
manhattan,2,n
francisco,1
star,1,n
users,1,n
congress,3,n
students,1,n
football,1,n
diet,1,n
important,1,a
stocks,1,n
presidential,1,a
died,1,v
opened,1,v
ago,2,s
land,2,n
studio,1,n
vice,1,n
painting,1,v
microsoft,1
nelson,1,n
time,4,n
fresh,1,s
brokers,1,v
