,5
 travel[travel,3
editor,2,n
 year,3
series,2,n
war,4,n
ago,3,s
jewish,2,a
 nations],1
 bronx],1
ford,5,n
survived,3,v
 digital,1
time[years,1
made,2,v
House,1,n
wife,6,n
economic,1,s
loving,2,v
 wines],1
ABC's,1,n
deaths,8,n
sales,2,n
cbs,1
politics,1,n
campus,1,n
film,3,n
cream,2,v
misstated,1,v
lemon,1,n
gay,1,s
 show,1
percent,1,n
drugs,1,v
book,1,n
digital,1,a
department,1,n
 end[years,1
 director],1
republicans,1,n
congress,1,n
students,2,n
 parents,1
friends,1,n
died,5,v
building,3,v
spades,3,n
 agreed],3
 season,1
 married],1
 viewers,1
 brooklyn,1
time,3,n
